,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size
0,2021,MI,FT,Data Analyst,75000,USD,75000,US,0,US,L
1,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,L
2,2021,MI,FT,BI Data Analyst,11000000,HUF,36259,HU,50,US,L
3,2021,MI,FT,Data Analyst,62000,USD,62000,US,0,US,L
4,2021,MI,FT,Data Scientist,73000,USD,73000,US,0,US,L
5,2021,MI,FT,Data Analyst,37456,GBP,51519,GB,50,GB,L
6,2021,MI,FT,Research Scientist,235000,CAD,187442,CA,100,CA,L
7,2021,SE,FT,Data Engineer,115000,USD,115000,US,100,US,S
8,2021,SE,FT,Data Engineer,150000,USD,150000,US,100,US,M
9,2021,EN,FT,Data Engineer,2250000,INR,30428,IN,100,IN,L
10,2021,SE,FT,Machine Learning Engineer,80000,EUR,94564,DE,50,DE,L
11,2021,SE,FT,Director of Data Engineering,82500,GBP,113476,GB,100,GB,M
12,2021,SE,FT,Lead Data Engineer,75000,GBP,103160,GB,100,GB,S
13,2021,EN,PT,AI Scientist,12000,USD,12000,PK,100,US,M
14,2021,MI,FT,Data Engineer,38400,EUR,45391,NL,100,NL,L
15,2021,EN,FT,Machine Learning Scientist,225000,USD,225000,US,100,US,L
16,2021,MI,FT,Data Scientist,50000,USD,50000,NG,100,NG,L
17,2021,MI,FT,Data Science Engineer,34000,EUR,40189,GR,100,GR,M
18,2021,EN,FT,Data Analyst,90000,USD,90000,US,100,US,S
19,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
20,2021,MI,FT,Big Data Engineer,60000,USD,60000,ES,50,RO,M
21,2021,SE,FT,Principal Data Engineer,200000,USD,200000,US,100,US,M
22,2021,EN,FT,Data Analyst,50000,USD,50000,US,100,US,M
23,2021,EN,FT,Applied Data Scientist,80000,GBP,110037,GB,0,GB,L
24,2021,EN,PT,Data Analyst,8760,EUR,10354,ES,50,ES,M
25,2021,MI,FT,Principal Data Scientist,151000,USD,151000,US,100,US,L
26,2021,SE,FT,Machine Learning Scientist,120000,USD,120000,US,50,US,S
27,2021,MI,FT,Data Scientist,700000,INR,9466,IN,0,IN,S
28,2021,EN,FT,Machine Learning Engineer,20000,USD,20000,IN,100,IN,S
29,2021,SE,FT,Lead Data Scientist,3000000,INR,40570,IN,50,IN,L
30,2021,EN,FT,Machine Learning Developer,100000,USD,100000,IQ,50,IQ,S
31,2021,EN,FT,Data Scientist,42000,EUR,49646,FR,50,FR,M
32,2021,MI,FT,Applied Machine Learning Scientist,38400,USD,38400,VN,100,US,M
33,2021,SE,FT,Computer Vision Engineer,24000,USD,24000,BR,100,BR,M
34,2021,EN,FT,Data Scientist,100000,USD,100000,US,0,US,S
35,2021,MI,FT,Data Analyst,90000,USD,90000,US,100,US,M
36,2021,MI,FT,ML Engineer,7000000,JPY,63711,JP,50,JP,S
37,2021,MI,FT,ML Engineer,8500000,JPY,77364,JP,50,JP,S
38,2021,SE,FT,Principal Data Scientist,220000,USD,220000,US,0,US,L
39,2021,EN,FT,Data Scientist,80000,USD,80000,US,100,US,M
40,2021,MI,FT,Data Analyst,135000,USD,135000,US,100,US,L
41,2021,SE,FT,Data Science Manager,240000,USD,240000,US,0,US,L
42,2021,SE,FT,Data Engineering Manager,150000,USD,150000,US,0,US,L
43,2021,MI,FT,Data Scientist,82500,USD,82500,US,100,US,S
44,2021,MI,FT,Data Engineer,100000,USD,100000,US,100,US,L
45,2021,SE,FT,Machine Learning Engineer,70000,EUR,82744,BE,50,BE,M
46,2021,MI,FT,Research Scientist,53000,EUR,62649,FR,50,FR,M
47,2021,MI,FT,Data Engineer,90000,USD,90000,US,100,US,L
48,2021,SE,FT,Data Engineering Manager,153000,USD,153000,US,100,US,L
49,2021,SE,FT,Cloud Data Engineer,160000,USD,160000,BR,100,US,S
50,2021,SE,FT,Director of Data Science,168000,USD,168000,JP,0,JP,S
51,2021,MI,FT,Data Scientist,150000,USD,150000,US,100,US,M
52,2021,MI,FT,Data Scientist,95000,CAD,75774,CA,100,CA,L
53,2021,EN,FT,Data Scientist,13400,USD,13400,UA,100,UA,L
54,2021,SE,FT,Data Science Manager,144000,USD,144000,US,100,US,L
55,2021,SE,FT,Data Science Engineer,159500,CAD,127221,CA,50,CA,L
56,2021,MI,FT,Data Scientist,160000,SGD,119059,SG,100,IL,M
57,2021,MI,FT,Applied Machine Learning Scientist,423000,USD,423000,US,50,US,L
58,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,100,US,M
59,2021,EN,FT,Machine Learning Engineer,125000,USD,125000,US,100,US,S
60,2021,EX,FT,Head of Data,230000,USD,230000,RU,50,RU,L
61,2021,EX,FT,Head of Data Science,85000,USD,85000,RU,0,RU,M
62,2021,MI,FT,Data Engineer,24000,EUR,28369,MT,50,MT,L
63,2021,EN,FT,Data Science Consultant,54000,EUR,63831,DE,50,DE,L
64,2021,EX,FT,Director of Data Science,110000,EUR,130026,DE,50,DE,M
65,2021,SE,FT,Data Specialist,165000,USD,165000,US,100,US,L
66,2021,EN,FT,Data Engineer,80000,USD,80000,US,100,US,L
67,2021,EX,FT,Director of Data Science,250000,USD,250000,US,0,US,L
68,2021,EN,FT,BI Data Analyst,55000,USD,55000,US,50,US,S
69,2021,MI,FT,Data Architect,150000,USD,150000,US,100,US,L
70,2021,MI,FT,Data Architect,170000,USD,170000,US,100,US,L
71,2021,MI,FT,Data Engineer,60000,GBP,82528,GB,100,GB,L
72,2021,EN,FT,Data Analyst,60000,USD,60000,US,100,US,S
73,2021,SE,FT,Principal Data Scientist,235000,USD,235000,US,100,US,L
74,2021,SE,FT,Research Scientist,51400,EUR,60757,PT,50,PT,L
75,2021,SE,FT,Data Engineering Manager,174000,USD,174000,US,100,US,L
76,2021,MI,FT,Data Scientist,58000,MXN,2859,MX,0,MX,S
77,2021,MI,FT,Data Scientist,30400000,CLP,40038,CL,100,CL,L
78,2021,EN,FT,Machine Learning Engineer,81000,USD,81000,US,50,US,S
79,2021,MI,FT,Data Scientist,420000,INR,5679,IN,100,US,S
80,2021,MI,FT,Big Data Engineer,1672000,INR,22611,IN,0,IN,L
81,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L
82,2021,MI,FT,Data Engineer,22000,EUR,26005,RO,0,US,L
83,2021,SE,FT,Finance Data Analyst,45000,GBP,61896,GB,50,GB,L
84,2021,MI,FL,Machine Learning Scientist,12000,USD,12000,PK,50,PK,M
85,2021,MI,FT,Data Engineer,4000,USD,4000,IR,100,IR,M
86,2021,SE,FT,Data Analytics Engineer,50000,USD,50000,VN,100,GB,M
87,2021,EX,FT,Data Science Consultant,59000,EUR,69741,FR,100,ES,S
88,2021,SE,FT,Data Engineer,65000,EUR,76833,RO,50,GB,S
89,2021,MI,FT,Machine Learning Engineer,74000,USD,74000,JP,50,JP,S
90,2021,SE,FT,Data Science Manager,152000,USD,152000,US,100,FR,L
91,2021,EN,FT,Machine Learning Engineer,21844,USD,21844,CO,50,CO,M
92,2021,MI,FT,Big Data Engineer,18000,USD,18000,MD,0,MD,S
93,2021,SE,FT,Data Science Manager,174000,USD,174000,US,100,US,L
94,2021,SE,FT,Research Scientist,120500,CAD,96113,CA,50,CA,L
95,2021,MI,FT,Data Scientist,147000,USD,147000,US,50,US,L
96,2021,EN,FT,BI Data Analyst,9272,USD,9272,KE,100,KE,S
97,2021,SE,FT,Machine Learning Engineer,1799997,INR,24342,IN,100,IN,L
98,2021,SE,FT,Data Science Manager,4000000,INR,54094,IN,50,US,L
99,2021,EN,FT,Data Science Consultant,90000,USD,90000,US,100,US,S
100,2021,MI,FT,Data Scientist,52000,EUR,61467,DE,50,AT,M
101,2021,SE,FT,Machine Learning Infrastructure Engineer,195000,USD,195000,US,100,US,M
102,2021,MI,FT,Data Scientist,32000,EUR,37825,ES,100,ES,L
103,2021,SE,FT,Research Scientist,50000,USD,50000,FR,100,US,S
104,2021,MI,FT,Data Scientist,160000,USD,160000,US,100,US,L
105,2021,MI,FT,Data Scientist,69600,BRL,12901,BR,0,BR,S
106,2021,SE,FT,Machine Learning Engineer,200000,USD,200000,US,100,US,L
107,2021,SE,FT,Data Engineer,165000,USD,165000,US,0,US,M
108,2021,MI,FL,Data Engineer,20000,USD,20000,IT,0,US,L
109,2021,SE,FT,Data Analytics Manager,120000,USD,120000,US,0,US,L
110,2021,MI,FT,Machine Learning Engineer,21000,EUR,24823,SI,50,SI,L
111,2021,MI,FT,Research Scientist,48000,EUR,56738,FR,50,FR,S
112,2021,MI,FT,Data Engineer,48000,GBP,66022,HK,50,GB,S
113,2021,EN,FT,Big Data Engineer,435000,INR,5882,IN,0,CH,L
114,2021,EN,FT,Machine Learning Engineer,21000,EUR,24823,DE,50,DE,M
115,2021,SE,FT,Principal Data Engineer,185000,USD,185000,US,100,US,L
116,2021,EN,PT,Computer Vision Engineer,180000,DKK,28609,DK,50,DK,S
117,2021,MI,FT,Data Scientist,76760,EUR,90734,DE,50,DE,L
118,2021,MI,FT,Machine Learning Engineer,75000,EUR,88654,BE,100,BE,M
119,2021,SE,FT,Data Analytics Manager,140000,USD,140000,US,100,US,L
120,2021,MI,FT,Machine Learning Engineer,180000,PLN,46597,PL,100,PL,L
121,2021,MI,FT,Data Scientist,85000,GBP,116914,GB,50,GB,L
122,2021,MI,FT,Data Scientist,2500000,INR,33808,IN,0,IN,M
123,2021,MI,FT,Data Scientist,40900,GBP,56256,GB,50,GB,L
124,2021,SE,FT,Machine Learning Scientist,225000,USD,225000,US,100,CA,L
125,2021,EX,CT,Principal Data Scientist,416000,USD,416000,US,100,US,S
126,2021,SE,FT,Data Scientist,110000,CAD,87738,CA,100,CA,S
127,2021,MI,FT,Data Scientist,75000,EUR,88654,DE,50,DE,L
128,2021,SE,FT,Data Scientist,135000,USD,135000,US,0,US,L
129,2021,SE,FT,Data Analyst,90000,CAD,71786,CA,100,CA,M
130,2021,EN,FT,Big Data Engineer,1200000,INR,16228,IN,100,IN,L
131,2021,SE,FT,ML Engineer,256000,USD,256000,US,100,US,S
132,2021,SE,FT,Director of Data Engineering,200000,USD,200000,US,100,US,L
133,2021,SE,FT,Data Analyst,200000,USD,200000,US,100,US,L
134,2021,MI,FT,Data Architect,180000,USD,180000,US,100,US,L
135,2021,MI,FT,Head of Data Science,110000,USD,110000,US,0,US,S
136,2021,MI,FT,Research Scientist,80000,CAD,63810,CA,100,CA,M
137,2021,MI,FT,Data Scientist,39600,EUR,46809,ES,100,ES,M
138,2021,EN,FT,Data Scientist,4000,USD,4000,VN,0,VN,M
139,2021,EN,FT,Data Engineer,1600000,INR,21637,IN,50,IN,M
140,2021,SE,FT,Data Scientist,130000,CAD,103691,CA,100,CA,L
141,2021,MI,FT,Data Analyst,80000,USD,80000,US,100,US,L
142,2021,MI,FT,Data Engineer,110000,USD,110000,US,100,US,L
143,2021,SE,FT,Data Scientist,165000,USD,165000,US,100,US,L
144,2021,EN,FT,AI Scientist,1335000,INR,18053,IN,100,AS,S
145,2021,MI,FT,Data Engineer,52500,GBP,72212,GB,50,GB,L
146,2021,EN,FT,Data Scientist,31000,EUR,36643,FR,50,FR,L
147,2021,MI,FT,Data Engineer,108000,TRY,12103,TR,0,TR,M
148,2021,SE,FT,Data Engineer,70000,GBP,96282,GB,50,GB,L
149,2021,SE,FT,Principal Data Analyst,170000,USD,170000,US,100,US,M
150,2021,MI,FT,Data Scientist,115000,USD,115000,US,50,US,L
151,2021,EN,FT,Data Scientist,90000,USD,90000,US,100,US,S
152,2021,EX,FT,Principal Data Engineer,600000,USD,600000,US,100,US,L
153,2021,EN,FT,Data Scientist,2100000,INR,28399,IN,100,IN,M
154,2021,MI,FT,Data Analyst,93000,USD,93000,US,100,US,L
155,2021,SE,FT,Big Data Architect,125000,CAD,99703,CA,50,CA,M
156,2021,MI,FT,Data Engineer,200000,USD,200000,US,100,US,L
157,2021,SE,FT,Principal Data Scientist,147000,EUR,173762,DE,100,DE,M
158,2021,SE,FT,Machine Learning Engineer,185000,USD,185000,US,50,US,L
159,2021,EX,FT,Director of Data Science,120000,EUR,141846,DE,0,DE,L
160,2021,MI,FT,Data Scientist,130000,USD,130000,US,50,US,L
161,2021,SE,FT,Data Analyst,54000,EUR,63831,DE,50,DE,L
162,2021,MI,FT,Data Scientist,1250000,INR,16904,IN,100,IN,S
163,2021,SE,FT,Machine Learning Engineer,4900000,INR,66265,IN,0,IN,L
164,2021,MI,FT,Data Scientist,21600,EUR,25532,RS,100,DE,S
165,2021,SE,FT,Lead Data Engineer,160000,USD,160000,PR,50,US,S
166,2021,MI,FT,Data Engineer,93150,USD,93150,US,0,US,M
167,2021,MI,FT,Data Engineer,111775,USD,111775,US,0,US,M
168,2021,MI,FT,Data Engineer,250000,TRY,28016,TR,100,TR,M
169,2021,EN,FT,Data Engineer,55000,EUR,65013,DE,50,DE,M
170,2021,EN,FT,Data Engineer,72500,USD,72500,US,100,US,L
171,2021,SE,FT,Computer Vision Engineer,102000,BRL,18907,BR,0,BR,M
172,2021,EN,FT,Data Science Consultant,65000,EUR,76833,DE,0,DE,L
173,2021,EN,FT,Machine Learning Engineer,85000,USD,85000,NL,100,DE,S
174,2021,SE,FT,Data Scientist,65720,EUR,77684,FR,50,FR,M
175,2021,EN,FT,Data Scientist,100000,USD,100000,US,100,US,M
176,2021,EN,FT,Data Scientist,58000,USD,58000,US,50,US,L
177,2021,SE,FT,AI Scientist,55000,USD,55000,ES,100,ES,L
178,2021,SE,FT,Data Scientist,180000,TRY,20171,TR,50,TR,L
179,2021,EN,FT,Business Data Analyst,50000,EUR,59102,LU,100,LU,L
180,2021,MI,FT,Data Engineer,112000,USD,112000,US,100,US,L
181,2021,EN,FT,Research Scientist,100000,USD,100000,JE,0,CN,L
182,2021,MI,PT,Data Engineer,59000,EUR,69741,NL,100,NL,L
183,2021,SE,CT,Staff Data Scientist,105000,USD,105000,US,100,US,M
184,2021,MI,FT,Research Scientist,69999,USD,69999,CZ,50,CZ,L
185,2021,SE,FT,Data Science Manager,7000000,INR,94665,IN,50,IN,L
186,2021,SE,FT,Head of Data,87000,EUR,102839,SI,100,SI,L
187,2021,MI,FT,Data Scientist,109000,USD,109000,US,50,US,L
188,2021,MI,FT,Machine Learning Engineer,43200,EUR,51064,IT,50,IT,L
189,2022,SE,FT,Data Engineer,135000,USD,135000,US,100,US,M
190,2022,SE,FT,Data Analyst,155000,USD,155000,US,100,US,M
191,2022,SE,FT,Data Analyst,120600,USD,120600,US,100,US,M
192,2022,MI,FT,Data Scientist,130000,USD,130000,US,0,US,M
193,2022,MI,FT,Data Scientist,90000,USD,90000,US,0,US,M
194,2022,MI,FT,Data Engineer,170000,USD,170000,US,100,US,M
195,2022,MI,FT,Data Engineer,150000,USD,150000,US,100,US,M
196,2022,SE,FT,Data Analyst,102100,USD,102100,US,100,US,M
197,2022,SE,FT,Data Analyst,84900,USD,84900,US,100,US,M
198,2022,SE,FT,Data Scientist,136620,USD,136620,US,100,US,M
199,2022,SE,FT,Data Scientist,99360,USD,99360,US,100,US,M
200,2022,SE,FT,Data Scientist,90000,GBP,117789,GB,0,GB,M
201,2022,SE,FT,Data Scientist,80000,GBP,104702,GB,0,GB,M
202,2022,SE,FT,Data Scientist,146000,USD,146000,US,100,US,M
203,2022,SE,FT,Data Scientist,123000,USD,123000,US,100,US,M
204,2022,EN,FT,Data Engineer,40000,GBP,52351,GB,100,GB,M
205,2022,SE,FT,Data Analyst,99000,USD,99000,US,0,US,M
206,2022,SE,FT,Data Analyst,116000,USD,116000,US,0,US,M
207,2022,MI,FT,Data Analyst,106260,USD,106260,US,0,US,M
208,2022,MI,FT,Data Analyst,126500,USD,126500,US,0,US,M
209,2022,EX,FT,Data Engineer,242000,USD,242000,US,100,US,M
210,2022,EX,FT,Data Engineer,200000,USD,200000,US,100,US,M
211,2022,MI,FT,Data Scientist,50000,GBP,65438,GB,0,GB,M
212,2022,MI,FT,Data Scientist,30000,GBP,39263,GB,0,GB,M
213,2022,MI,FT,Data Engineer,60000,GBP,78526,GB,0,GB,M
214,2022,MI,FT,Data Engineer,40000,GBP,52351,GB,0,GB,M
215,2022,SE,FT,Data Scientist,165220,USD,165220,US,100,US,M
216,2022,EN,FT,Data Engineer,35000,GBP,45807,GB,100,GB,M
217,2022,SE,FT,Data Scientist,120160,USD,120160,US,100,US,M
218,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
219,2022,SE,FT,Data Engineer,181940,USD,181940,US,0,US,M
220,2022,SE,FT,Data Engineer,132320,USD,132320,US,0,US,M
221,2022,SE,FT,Data Engineer,220110,USD,220110,US,0,US,M
222,2022,SE,FT,Data Engineer,160080,USD,160080,US,0,US,M
223,2022,SE,FT,Data Scientist,180000,USD,180000,US,0,US,L
224,2022,SE,FT,Data Scientist,120000,USD,120000,US,0,US,L
225,2022,SE,FT,Data Analyst,124190,USD,124190,US,100,US,M
226,2022,EX,FT,Data Analyst,130000,USD,130000,US,100,US,M
227,2022,EX,FT,Data Analyst,110000,USD,110000,US,100,US,M
228,2022,SE,FT,Data Analyst,170000,USD,170000,US,100,US,M
229,2022,MI,FT,Data Analyst,115500,USD,115500,US,100,US,M
230,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
231,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
232,2022,SE,FT,Data Analyst,112900,USD,112900,US,100,US,M
233,2022,SE,FT,Data Analyst,90320,USD,90320,US,100,US,M
234,2022,SE,FT,Data Engineer,165400,USD,165400,US,100,US,M
235,2022,SE,FT,Data Engineer,132320,USD,132320,US,100,US,M
236,2022,MI,FT,Data Analyst,167000,USD,167000,US,100,US,M
237,2022,SE,FT,Data Engineer,243900,USD,243900,US,100,US,M
238,2022,SE,FT,Data Analyst,136600,USD,136600,US,100,US,M
239,2022,SE,FT,Data Analyst,109280,USD,109280,US,100,US,M
240,2022,SE,FT,Data Engineer,128875,USD,128875,US,100,US,M
241,2022,SE,FT,Data Engineer,93700,USD,93700,US,100,US,M
242,2022,EX,FT,Head of Data Science,224000,USD,224000,US,100,US,M
243,2022,EX,FT,Head of Data Science,167875,USD,167875,US,100,US,M
244,2022,EX,FT,Analytics Engineer,175000,USD,175000,US,100,US,M
245,2022,SE,FT,Data Engineer,156600,USD,156600,US,100,US,M
246,2022,SE,FT,Data Engineer,108800,USD,108800,US,0,US,M
247,2022,SE,FT,Data Scientist,95550,USD,95550,US,0,US,M
248,2022,SE,FT,Data Engineer,113000,USD,113000,US,0,US,L
249,2022,SE,FT,Data Analyst,135000,USD,135000,US,100,US,M
250,2022,SE,FT,Data Science Manager,161342,USD,161342,US,100,US,M
